iter	MultiClass
0	5.26073183
1	5.258841643
2	5.258580954
3	5.256996613
4	5.255227245
5	5.253264516
6	5.25198419
7	5.250326758
8	5.248351379
9	5.246493027
10	5.244684431
11	5.242688832
12	5.240722121
13	5.238706256
14	5.237355534
15	5.237316664
16	5.235302924
17	5.233262796
18	5.23131869
19	5.229425541
20	5.227757967
21	5.226140211
22	5.224341539
23	5.22239448
24	5.220669298
25	5.219144427
26	5.217186057
27	5.215219832
28	5.213533242
29	5.211610669
30	5.209650517
31	5.207792104
32	5.205771595
33	5.2038855
34	5.202249236
35	5.200272947
36	5.19838693
37	5.19649456
38	5.194911416
39	5.193183463
40	5.191580455
41	5.19008998
42	5.18846443
43	5.186462424
44	5.184585801
45	5.183148101
46	5.181319929
47	5.179482413
48	5.17802335
49	5.176272622
50	5.174312568
