iter	Passed	Remaining
0	3993	395391
1	8003	392168
2	11793	381315
3	15575	373804
4	19364	367918
5	23222	363817
6	27028	359089
7	30798	354187
8	34561	349459
9	38359	345232
10	42119	340786
11	45868	336370
12	49632	332154
13	53442	328287
14	57202	324146
15	60978	320138
16	64744	316104
17	68540	312241
18	68646	292652
19	72392	289569
20	76150	286469
21	79936	283410
22	83728	280308
23	83969	265901
24	87713	263141
25	91461	260313
26	95227	257466
27	99021	254626
28	102807	251701
29	106561	248642
30	110339	245595
31	114087	242436
32	117851	239273
33	121599	236046
34	125369	232828
35	129104	229519
36	132865	226230
37	136648	222953
38	140434	219654
39	144179	216269
40	147944	212896
41	151693	209481
42	155487	206110
43	159224	202649
44	163006	199229
45	166744	195743
46	170517	192285
47	174256	188777
48	177959	185223
49	181677	181677
50	185446	178174
51	189184	174631
52	192917	171077
53	196642	167510
54	200407	163969
55	204169	160418
56	207916	156849
57	211621	153243
58	215367	149662
59	219084	146056
60	222855	142481
61	226687	138937
62	230412	135321
63	234141	131704
64	237850	128073
65	241558	124439
66	245313	120826
67	249144	117244
68	252892	113618
69	256647	109991
70	260421	106369
71	264144	102722
72	267846	99066
73	271561	95413
74	275312	91770
75	279034	88116
76	282753	84458
77	286478	80801
78	290207	77143
79	293923	73480
80	297627	69813
81	301348	66149
82	305063	62482
83	308796	58818
84	312508	55148
85	316204	51475
86	319912	47802
87	323643	44133
88	327366	40461
89	331089	36787
90	334804	33112
91	338592	29442
92	338836	25503
93	342501	21861
94	346205	18221
95	349931	14580
96	353670	10938
97	357380	7293
98	361079	3647
99	364762	0
